User,Site,Passowrd Scheme,Mode,Start Time,Submit Time,End Time,Time to submit (s),Time to login (s)
ast413,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 14:03:47 GMT-0400 (EDT),Mon Jul 25 2011 14:03:50 GMT-0400 (EDT),Mon Jul 25 2011 14:03:51 GMT-0400 (EDT),3,4
ast413,voteforyou,textrandom;az-6,enter,Tue Jul 26 2011 20:30:40 GMT-0400 (EDT),Tue Jul 26 2011 20:30:42 GMT-0400 (EDT),Tue Jul 26 2011 20:30:43 GMT-0400 (EDT),2,3
ast413,voteforyou,textrandom;az-6,enter,Thu Jul 28 2011 22:56:40 GMT-0400 (EDT),Thu Jul 28 2011 22:56:43 GMT-0400 (EDT),Thu Jul 28 2011 22:56:44 GMT-0400 (EDT),3,4
ast413,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 09:08:32 GMT-0400 (EDT),Mon Aug 01 2011 09:08:36 GMT-0400 (EDT),Mon Aug 01 2011 09:08:37 GMT-0400 (EDT),4,5
ast413,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 08:45:19 GMT-0400 (EDT),Tue Aug 02 2011 08:45:23 GMT-0400 (EDT),Tue Aug 02 2011 08:45:23 GMT-0400 (EDT),4,4
ast413,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 14:01:49 GMT-0400 (EDT),Mon Jul 25 2011 14:01:51 GMT-0400 (EDT),Mon Jul 25 2011 14:01:52 GMT-0400 (EDT),2,3
ast413,wvacation,textrandom;az-6,enter,Tue Jul 26 2011 20:29:16 GMT-0400 (EDT),Tue Jul 26 2011 20:29:23 GMT-0400 (EDT),Tue Jul 26 2011 20:29:23 GMT-0400 (EDT),7,7
ast413,wvacation,textrandom;az-6,enter,Thu Jul 28 2011 22:57:48 GMT-0400 (EDT),Thu Jul 28 2011 22:57:52 GMT-0400 (EDT),Thu Jul 28 2011 22:57:53 GMT-0400 (EDT),4,5
ast413,wvacation,textrandom;az-6,enter,Mon Aug 01 2011 09:07:05 GMT-0400 (EDT),Mon Aug 01 2011 09:07:07 GMT-0400 (EDT),Mon Aug 01 2011 09:07:07 GMT-0400 (EDT),2,2
ast413,wvacation,textrandom;az-6,enter,Tue Aug 02 2011 08:47:59 GMT-0400 (EDT),Tue Aug 02 2011 08:48:07 GMT-0400 (EDT),Tue Aug 02 2011 08:48:08 GMT-0400 (EDT),8,9
ast416,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 14:58:28 GMT-0400 (EDT),Mon Jul 25 2011 14:58:41 GMT-0400 (EDT),Mon Jul 25 2011 14:58:42 GMT-0400 (EDT),13,14
ast416,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 00:19:24 GMT-0400 (EDT),Wed Jul 27 2011 00:19:52 GMT-0400 (EDT),Wed Jul 27 2011 00:19:54 GMT-0400 (EDT),28,30
ast416,studentlife,textrandom;az-6,enter,Fri Jul 29 2011 09:47:23 GMT-0400 (EDT),Fri Jul 29 2011 09:47:37 GMT-0400 (EDT),Fri Jul 29 2011 09:47:41 GMT-0400 (EDT),14,18
ast416,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 14:28:17 GMT-0400 (EDT),Mon Aug 01 2011 14:28:46 GMT-0400 (EDT),Mon Aug 01 2011 14:28:48 GMT-0400 (EDT),29,31
ast416,studentlife,textrandom;az-6,enter,Tue Aug 02 2011 09:12:03 GMT-0400 (EDT),Tue Aug 02 2011 09:12:42 GMT-0400 (EDT),Tue Aug 02 2011 09:12:44 GMT-0400 (EDT),39,41
ast416,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 14:53:12 GMT-0400 (EDT),Mon Jul 25 2011 14:54:20 GMT-0400 (EDT),Mon Jul 25 2011 14:54:32 GMT-0400 (EDT),68,80
ast416,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 00:20:24 GMT-0400 (EDT),Wed Jul 27 2011 00:20:35 GMT-0400 (EDT),Wed Jul 27 2011 00:20:38 GMT-0400 (EDT),11,14
ast416,voteforyou,textrandom;az-6,enter,Fri Jul 29 2011 09:45:08 GMT-0400 (EDT),Fri Jul 29 2011 09:47:13 GMT-0400 (EDT),Fri Jul 29 2011 09:47:14 GMT-0400 (EDT),125,126
ast416,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 14:26:52 GMT-0400 (EDT),Mon Aug 01 2011 14:27:06 GMT-0400 (EDT),Mon Aug 01 2011 14:27:10 GMT-0400 (EDT),14,18
ast416,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 09:11:33 GMT-0400 (EDT),Tue Aug 02 2011 09:11:55 GMT-0400 (EDT),Tue Aug 02 2011 09:11:56 GMT-0400 (EDT),22,23
ast416,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 14:48:13 GMT-0400 (EDT),Mon Jul 25 2011 14:48:28 GMT-0400 (EDT),Mon Jul 25 2011 14:48:28 GMT-0400 (EDT),15,15
ast416,wvacation,textrandom;az-6,enter,Wed Jul 27 2011 00:20:01 GMT-0400 (EDT),Wed Jul 27 2011 00:20:18 GMT-0400 (EDT),Wed Jul 27 2011 00:20:19 GMT-0400 (EDT),17,18
ast416,wvacation,textrandom;az-6,enter,Fri Jul 29 2011 09:48:17 GMT-0400 (EDT),Fri Jul 29 2011 09:48:34 GMT-0400 (EDT),Fri Jul 29 2011 09:48:40 GMT-0400 (EDT),17,23
ast416,wvacation,textrandom;az-6,enter,Mon Aug 01 2011 14:21:35 GMT-0400 (EDT),Mon Aug 01 2011 14:22:27 GMT-0400 (EDT),Mon Aug 01 2011 14:22:28 GMT-0400 (EDT),52,53
ast416,wvacation,textrandom;az-6,enter,Tue Aug 02 2011 09:12:54 GMT-0400 (EDT),Tue Aug 02 2011 09:13:01 GMT-0400 (EDT),Tue Aug 02 2011 09:13:02 GMT-0400 (EDT),7,8
ast417,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 15:10:23 GMT-0400 (EDT),Mon Jul 25 2011 15:10:28 GMT-0400 (EDT),Mon Jul 25 2011 15:10:29 GMT-0400 (EDT),5,6
ast417,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 00:24:54 GMT-0400 (EDT),Wed Jul 27 2011 00:29:18 GMT-0400 (EDT),Wed Jul 27 2011 00:29:18 GMT-0400 (EDT),264,264
ast417,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 00:29:28 GMT-0400 (EDT),Wed Jul 27 2011 00:29:41 GMT-0400 (EDT),Wed Jul 27 2011 00:29:42 GMT-0400 (EDT),13,14
ast417,studentlife,textrandom;az-6,enter,Thu Jul 28 2011 23:12:54 GMT-0400 (EDT),Thu Jul 28 2011 23:13:01 GMT-0400 (EDT),Thu Jul 28 2011 23:13:01 GMT-0400 (EDT),7,7
ast417,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 00:18:27 GMT-0400 (EDT),Mon Aug 01 2011 00:18:46 GMT-0400 (EDT),Mon Aug 01 2011 00:18:46 GMT-0400 (EDT),19,19
ast417,studentlife,textrandom;az-6,enter,Tue Aug 02 2011 02:05:15 GMT-0400 (EDT),Tue Aug 02 2011 02:05:33 GMT-0400 (EDT),Tue Aug 02 2011 02:05:34 GMT-0400 (EDT),18,19
ast417,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 15:11:24 GMT-0400 (EDT),Mon Jul 25 2011 15:11:28 GMT-0400 (EDT),Mon Jul 25 2011 15:11:28 GMT-0400 (EDT),4,4
ast417,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 00:36:33 GMT-0400 (EDT),Wed Jul 27 2011 00:36:47 GMT-0400 (EDT),Wed Jul 27 2011 00:36:48 GMT-0400 (EDT),14,15
ast417,voteforyou,textrandom;az-6,enter,Thu Jul 28 2011 23:17:04 GMT-0400 (EDT),Thu Jul 28 2011 23:17:17 GMT-0400 (EDT),Thu Jul 28 2011 23:17:17 GMT-0400 (EDT),13,13
ast417,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 00:22:57 GMT-0400 (EDT),Mon Aug 01 2011 00:23:01 GMT-0400 (EDT),Mon Aug 01 2011 00:23:01 GMT-0400 (EDT),4,4
ast417,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 02:04:15 GMT-0400 (EDT),Tue Aug 02 2011 02:04:36 GMT-0400 (EDT),Tue Aug 02 2011 02:04:37 GMT-0400 (EDT),21,22
ast417,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 15:08:33 GMT-0400 (EDT),Mon Jul 25 2011 15:08:41 GMT-0400 (EDT),Mon Jul 25 2011 15:08:41 GMT-0400 (EDT),8,8
ast417,wvacation,textrandom;az-6,enter,Wed Jul 27 2011 00:33:36 GMT-0400 (EDT),Wed Jul 27 2011 00:34:12 GMT-0400 (EDT),Wed Jul 27 2011 00:34:13 GMT-0400 (EDT),36,37
ast417,wvacation,textrandom;az-6,enter,Thu Jul 28 2011 23:18:26 GMT-0400 (EDT),Thu Jul 28 2011 23:18:30 GMT-0400 (EDT),Thu Jul 28 2011 23:18:30 GMT-0400 (EDT),4,4
ast417,wvacation,textrandom;az-6,enter,Mon Aug 01 2011 00:21:09 GMT-0400 (EDT),Mon Aug 01 2011 00:21:16 GMT-0400 (EDT),Mon Aug 01 2011 00:21:16 GMT-0400 (EDT),7,7
ast417,wvacation,textrandom;az-6,enter,Tue Aug 02 2011 02:06:37 GMT-0400 (EDT),Tue Aug 02 2011 02:06:50 GMT-0400 (EDT),Tue Aug 02 2011 02:06:50 GMT-0400 (EDT),13,13
ast418,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 15:38:55 GMT-0400 (EDT),Mon Jul 25 2011 15:38:58 GMT-0400 (EDT),Mon Jul 25 2011 15:38:58 GMT-0400 (EDT),3,3
ast418,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 03:40:42 GMT-0400 (EDT),Wed Jul 27 2011 03:40:45 GMT-0400 (EDT),Wed Jul 27 2011 03:40:46 GMT-0400 (EDT),3,4
ast418,studentlife,textrandom;az-6,enter,Tue Aug 02 2011 14:23:34 GMT-0400 (EDT),Tue Aug 02 2011 14:23:37 GMT-0400 (EDT),Tue Aug 02 2011 14:23:37 GMT-0400 (EDT),3,3
ast418,studentlife,textrandom;az-6,enter,Wed Aug 03 2011 11:40:31 GMT-0400 (EDT),Wed Aug 03 2011 11:40:34 GMT-0400 (EDT),Wed Aug 03 2011 11:40:35 GMT-0400 (EDT),3,4
ast418,studentlife,textrandom;az-6,enter,Wed Aug 03 2011 11:40:38 GMT-0400 (EDT),Wed Aug 03 2011 11:40:47 GMT-0400 (EDT),Wed Aug 03 2011 11:40:47 GMT-0400 (EDT),9,9
ast418,studentlife,textrandom;az-6,enter,Fri Aug 05 2011 13:05:27 GMT-0400 (EDT),Fri Aug 05 2011 13:05:36 GMT-0400 (EDT),Fri Aug 05 2011 13:05:36 GMT-0400 (EDT),9,9
ast418,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 15:39:55 GMT-0400 (EDT),Mon Jul 25 2011 15:40:01 GMT-0400 (EDT),Mon Jul 25 2011 15:40:02 GMT-0400 (EDT),6,7
ast418,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 03:42:08 GMT-0400 (EDT),Wed Jul 27 2011 03:42:12 GMT-0400 (EDT),Wed Jul 27 2011 03:42:13 GMT-0400 (EDT),4,5
ast418,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 14:24:11 GMT-0400 (EDT),Tue Aug 02 2011 14:24:14 GMT-0400 (EDT),Tue Aug 02 2011 14:24:14 GMT-0400 (EDT),3,3
ast418,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 14:24:19 GMT-0400 (EDT),Tue Aug 02 2011 14:24:33 GMT-0400 (EDT),Tue Aug 02 2011 14:24:33 GMT-0400 (EDT),14,14
ast418,voteforyou,textrandom;az-6,enter,Wed Aug 03 2011 11:40:57 GMT-0400 (EDT),Wed Aug 03 2011 11:41:00 GMT-0400 (EDT),Wed Aug 03 2011 11:41:00 GMT-0400 (EDT),3,3
ast418,voteforyou,textrandom;az-6,enter,Fri Aug 05 2011 13:05:12 GMT-0400 (EDT),Fri Aug 05 2011 13:05:20 GMT-0400 (EDT),Fri Aug 05 2011 13:05:20 GMT-0400 (EDT),8,8
ast418,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 15:37:46 GMT-0400 (EDT),Mon Jul 25 2011 15:37:49 GMT-0400 (EDT),Mon Jul 25 2011 15:37:50 GMT-0400 (EDT),3,4
ast418,wvacation,textrandom;az-6,enter,Wed Jul 27 2011 03:41:32 GMT-0400 (EDT),Wed Jul 27 2011 03:41:35 GMT-0400 (EDT),Wed Jul 27 2011 03:41:36 GMT-0400 (EDT),3,4
ast418,wvacation,textrandom;az-6,enter,Tue Aug 02 2011 14:22:16 GMT-0400 (EDT),Tue Aug 02 2011 14:22:18 GMT-0400 (EDT),Tue Aug 02 2011 14:22:19 GMT-0400 (EDT),2,3
ast418,wvacation,textrandom;az-6,enter,Wed Aug 03 2011 11:41:14 GMT-0400 (EDT),Wed Aug 03 2011 11:41:16 GMT-0400 (EDT),Wed Aug 03 2011 11:41:17 GMT-0400 (EDT),2,3
ast418,wvacation,textrandom;az-6,enter,Fri Aug 05 2011 13:05:42 GMT-0400 (EDT),Fri Aug 05 2011 13:05:53 GMT-0400 (EDT),Fri Aug 05 2011 13:05:53 GMT-0400 (EDT),11,11
ast422,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 17:57:27 GMT-0400 (EDT),Mon Jul 25 2011 17:57:30 GMT-0400 (EDT),Mon Jul 25 2011 17:57:30 GMT-0400 (EDT),3,3
ast422,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 22:39:53 GMT-0400 (EDT),Wed Jul 27 2011 22:40:11 GMT-0400 (EDT),Wed Jul 27 2011 22:40:12 GMT-0400 (EDT),18,19
ast422,studentlife,textrandom;az-6,enter,Sat Jul 30 2011 13:19:34 GMT-0400 (EDT),Sat Jul 30 2011 13:19:37 GMT-0400 (EDT),Sat Jul 30 2011 13:19:38 GMT-0400 (EDT),3,4
ast422,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 19:48:49 GMT-0400 (EDT),Mon Aug 01 2011 19:48:51 GMT-0400 (EDT),Mon Aug 01 2011 19:48:52 GMT-0400 (EDT),2,3
ast422,studentlife,textrandom;az-6,enter,Wed Aug 03 2011 11:26:56 GMT-0400 (EDT),Wed Aug 03 2011 11:26:59 GMT-0400 (EDT),Wed Aug 03 2011 11:26:59 GMT-0400 (EDT),3,3
ast422,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 17:58:32 GMT-0400 (EDT),Mon Jul 25 2011 17:58:34 GMT-0400 (EDT),Mon Jul 25 2011 17:58:34 GMT-0400 (EDT),2,2
ast422,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 22:46:08 GMT-0400 (EDT),Wed Jul 27 2011 22:46:12 GMT-0400 (EDT),Wed Jul 27 2011 22:46:12 GMT-0400 (EDT),4,4
ast422,voteforyou,textrandom;az-6,enter,Sat Jul 30 2011 13:24:52 GMT-0400 (EDT),Sat Jul 30 2011 13:24:55 GMT-0400 (EDT),Sat Jul 30 2011 13:24:55 GMT-0400 (EDT),3,3
ast422,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 19:53:17 GMT-0400 (EDT),Mon Aug 01 2011 19:53:20 GMT-0400 (EDT),Mon Aug 01 2011 19:53:20 GMT-0400 (EDT),3,3
ast422,voteforyou,textrandom;az-6,enter,Wed Aug 03 2011 11:26:11 GMT-0400 (EDT),Wed Aug 03 2011 11:26:15 GMT-0400 (EDT),Wed Aug 03 2011 11:26:15 GMT-0400 (EDT),4,4
ast422,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 17:56:15 GMT-0400 (EDT),Mon Jul 25 2011 17:56:18 GMT-0400 (EDT),Mon Jul 25 2011 17:56:18 GMT-0400 (EDT),3,3
ast422,wvacation,textrandom;az-6,enter,Wed Jul 27 2011 22:43:41 GMT-0400 (EDT),Wed Jul 27 2011 22:43:46 GMT-0400 (EDT),Wed Jul 27 2011 22:43:46 GMT-0400 (EDT),5,5
ast422,wvacation,textrandom;az-6,enter,Sat Jul 30 2011 13:16:55 GMT-0400 (EDT),Sat Jul 30 2011 13:16:58 GMT-0400 (EDT),Sat Jul 30 2011 13:16:59 GMT-0400 (EDT),3,4
ast422,wvacation,textrandom;az-6,enter,Mon Aug 01 2011 19:51:45 GMT-0400 (EDT),Mon Aug 01 2011 19:51:47 GMT-0400 (EDT),Mon Aug 01 2011 19:51:48 GMT-0400 (EDT),2,3
ast422,wvacation,textrandom;az-6,enter,Wed Aug 03 2011 11:28:52 GMT-0400 (EDT),Wed Aug 03 2011 11:28:55 GMT-0400 (EDT),Wed Aug 03 2011 11:28:55 GMT-0400 (EDT),3,3
ast423,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 18:53:55 GMT-0400 (EDT),Mon Jul 25 2011 18:53:58 GMT-0400 (EDT),Mon Jul 25 2011 18:53:59 GMT-0400 (EDT),3,4
ast423,studentlife,textrandom;az-6,enter,Wed Jul 27 2011 00:39:59 GMT-0400 (EDT),Wed Jul 27 2011 00:40:01 GMT-0400 (EDT),Wed Jul 27 2011 00:40:02 GMT-0400 (EDT),2,3
ast423,studentlife,textrandom;az-6,enter,Thu Jul 28 2011 20:56:24 GMT-0400 (EDT),Thu Jul 28 2011 20:56:27 GMT-0400 (EDT),Thu Jul 28 2011 20:56:28 GMT-0400 (EDT),3,4
ast423,studentlife,textrandom;az-6,enter,Sun Jul 31 2011 21:12:01 GMT-0400 (EDT),Sun Jul 31 2011 21:12:04 GMT-0400 (EDT),Sun Jul 31 2011 21:12:05 GMT-0400 (EDT),3,4
ast423,studentlife,textrandom;az-6,enter,Tue Aug 02 2011 00:19:14 GMT-0400 (EDT),Tue Aug 02 2011 00:19:17 GMT-0400 (EDT),Tue Aug 02 2011 00:19:18 GMT-0400 (EDT),3,4
ast423,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 18:54:36 GMT-0400 (EDT),Mon Jul 25 2011 18:54:39 GMT-0400 (EDT),Mon Jul 25 2011 18:54:39 GMT-0400 (EDT),3,3
ast423,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 00:35:20 GMT-0400 (EDT),Wed Jul 27 2011 00:35:22 GMT-0400 (EDT),Wed Jul 27 2011 00:35:23 GMT-0400 (EDT),2,3
ast423,voteforyou,textrandom;az-6,enter,Wed Jul 27 2011 00:44:08 GMT-0400 (EDT),Wed Jul 27 2011 00:44:11 GMT-0400 (EDT),Wed Jul 27 2011 00:44:11 GMT-0400 (EDT),3,3
ast423,voteforyou,textrandom;az-6,enter,Thu Jul 28 2011 20:58:02 GMT-0400 (EDT),Thu Jul 28 2011 20:58:04 GMT-0400 (EDT),Thu Jul 28 2011 20:58:05 GMT-0400 (EDT),2,3
ast423,voteforyou,textrandom;az-6,enter,Sun Jul 31 2011 21:13:53 GMT-0400 (EDT),Sun Jul 31 2011 21:13:56 GMT-0400 (EDT),Sun Jul 31 2011 21:13:57 GMT-0400 (EDT),3,4
ast423,voteforyou,textrandom;az-6,enter,Tue Aug 02 2011 00:17:51 GMT-0400 (EDT),Tue Aug 02 2011 00:17:54 GMT-0400 (EDT),Tue Aug 02 2011 00:17:54 GMT-0400 (EDT),3,3
ast423,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 18:52:49 GMT-0400 (EDT),Mon Jul 25 2011 18:52:55 GMT-0400 (EDT),Mon Jul 25 2011 18:52:55 GMT-0400 (EDT),6,6
ast423,wvacation,textrandom;az-6,enter,Wed Jul 27 2011 00:42:15 GMT-0400 (EDT),Wed Jul 27 2011 00:42:17 GMT-0400 (EDT),Wed Jul 27 2011 00:42:18 GMT-0400 (EDT),2,3
ast423,wvacation,textrandom;az-6,enter,Thu Jul 28 2011 20:59:11 GMT-0400 (EDT),Thu Jul 28 2011 20:59:15 GMT-0400 (EDT),Thu Jul 28 2011 20:59:15 GMT-0400 (EDT),4,4
ast423,wvacation,textrandom;az-6,enter,Sun Jul 31 2011 21:12:55 GMT-0400 (EDT),Sun Jul 31 2011 21:12:59 GMT-0400 (EDT),Sun Jul 31 2011 21:12:59 GMT-0400 (EDT),4,4
ast423,wvacation,textrandom;az-6,enter,Tue Aug 02 2011 00:20:31 GMT-0400 (EDT),Tue Aug 02 2011 00:20:34 GMT-0400 (EDT),Tue Aug 02 2011 00:20:34 GMT-0400 (EDT),3,3
ast424,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 20:13:15 GMT-0400 (EDT),Mon Jul 25 2011 20:13:22 GMT-0400 (EDT),Mon Jul 25 2011 20:13:22 GMT-0400 (EDT),7,7
ast424,studentlife,textrandom;az-6,enter,Tue Jul 26 2011 20:28:07 GMT-0400 (EDT),Tue Jul 26 2011 20:29:17 GMT-0400 (EDT),Tue Jul 26 2011 20:29:17 GMT-0400 (EDT),70,70
ast424,studentlife,textrandom;az-6,enter,Fri Jul 29 2011 10:47:07 GMT-0400 (EDT),Fri Jul 29 2011 10:47:21 GMT-0400 (EDT),Fri Jul 29 2011 10:47:21 GMT-0400 (EDT),14,14
ast424,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 21:54:16 GMT-0400 (EDT),Mon Aug 01 2011 21:54:22 GMT-0400 (EDT),Mon Aug 01 2011 21:54:23 GMT-0400 (EDT),6,7
ast424,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 20:15:11 GMT-0400 (EDT),Mon Jul 25 2011 20:15:15 GMT-0400 (EDT),Mon Jul 25 2011 20:15:15 GMT-0400 (EDT),4,4
ast424,voteforyou,textrandom;az-6,enter,Tue Jul 26 2011 20:35:52 GMT-0400 (EDT),Tue Jul 26 2011 20:36:00 GMT-0400 (EDT),Tue Jul 26 2011 20:36:01 GMT-0400 (EDT),8,9
ast424,voteforyou,textrandom;az-6,enter,Fri Jul 29 2011 10:52:28 GMT-0400 (EDT),Fri Jul 29 2011 10:52:38 GMT-0400 (EDT),Fri Jul 29 2011 10:52:39 GMT-0400 (EDT),10,11
ast424,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 21:57:20 GMT-0400 (EDT),Mon Aug 01 2011 21:57:25 GMT-0400 (EDT),Mon Aug 01 2011 21:57:25 GMT-0400 (EDT),5,5
